word,def,syn,ant,example
abate,To become less intense or widespread,lessen; subside; diminish,intensify; worsen; increase,The rain finally began to abate just as the school picnic was due to finish.
abduct,"To carry someone off secretly and by force, especially against their will",kidnap; capture; seize,release; liberate; free,"Two masked men attempted to abduct the postman, who managed to call the emergency services."
aberrant,Departing noticeably from what is normal or expected,deviant; unusual; irregular,typical; ordinary; normal,"The school counsellor called his behaviour aberrant, as no other pupil reacted so violently to a lost pen."
ablest,"The comparative form of able, meaning more skilful than the rest",most capable; most talented; most proficient,least capable; most inept; most unskilled,"Though only eleven, my cousin proved the ablest goalkeeper in the county tournament."
abominable,"Extremely bad or unpleasant, causing disgust",dreadful; atrocious; appalling,excellent; delightful; wonderful,"The weather was abominable, so our sports day was cancelled and we sat in the dining hall instead."
abomination,Something so bad that it is regarded with disgust or horror,atrocity; monstrosity; abhorrence,blessing; delight; treasure,Everyone agreed that the amount of litter left in the park after the festival was an abomination.
abrasive,"Rough to the touch, and likely to rub the skin or hurt feelings",harsh; coarse; gritty,smooth; soft; gentle,"The kitchen sponge was abrasive enough to polish a dirty pan, but far too rough for washing my face."
absence,The fact of a person or thing not being there when expected,lack; omission; nonattendance,presence; attendance; existence,"Your absence from Tuesday's rehearsal will mean losing your place in the choir, so tell the director today."
absolute,"Complete and without any doubt, limit or exception",total; complete; unconditional,partial; relative; doubtful,There was absolute silence in the hall as the head teacher read out the examination results.
absorbed,So completely interested in something that everything else is forgotten,engrossed; preoccupied; captivated,bored; inattentive; distracted,"She was absorbed in her new novel and did not hear the bell, or her mother calling her for tea."
abstract,Dealing with general ideas and qualities rather than particular things,theoretical; conceptual; generalised,concrete; literal; specific,"The pupils found the lesson abstract, as they were asked to argue about a city that does not exist."
abstruse,So complicated and difficult to understand that only specialists can follow it,arcane; esoteric; obscure,simple; clear; straightforward,"Most of us needed a diagram, because the explanation of the theory was too abstruse to take in at once."
accessible,"Easy to reach, enter, understand or make use of",reachable; available; understandable,inaccessible; restricted; incomprehensible,"The school website is accessible from any device, and the reading room is open to all students."
acclaim,Widespread praise and approval given publicly for something,praise; applause; commendation,criticism; censure; disapproval,"The young violinist received acclaim after her solo at the county concert, and everyone asked for an encore."
accolade,A mark of honour or praise awarded for a special achievement,award; honour; prize,reproach; disgrace; condemnation,Receiving a gold medal at the swimming gala was the greatest accolade of her school career so far.
accumulate,To gather a growing amount of something over a period of time,amass; collect; gather,disperse; diminish; scatter,"Dust had accumulated thickly on the old piano, and a stack of unopened post lay on the shelf."
accusatory,Showing that the speaker thinks another person is to blame,accusing; reproachful; critical,defending; praising; approving,"When he asked about the missing homework, Jordan's tone was so accusatory that her friend stopped talking."
accuse,To say that someone has done something wrong or unlawful,blame; charge; denounce,excuse; absolve; pardon,The head teacher refused to accuse anyone of cheating until the exam papers had been checked again.
accustom,To make someone used to something by giving them experience of it,habituate; familiarise; expose,unsettle; surprise; disrupt,"It took several weeks to accustom the new starters to school life, and one girl still arrives far too early."
acerbic,"Harsh and bitter in tone, especially in speech or writing",biting; caustic; sardonic,kind; gentle; warm,"His acerbic reply made the whole class laugh, though the teacher winced at its cruelty."
acquaint,"To make someone known to another, or to become known to them",introduce; present; familiarise,ignore; avoid; conceal,You should acquaint yourself with the library rules before borrowing your first book this term.
acquiescence,Agreement given without really objecting or trying to change anything,consent; assent; agreement,opposition; protest; resistance,"His acquiescence went no further than a shrug, and he refused to help plan the event."
acquire,"To get or gain something, or a new skill or quality",obtain; gain; secure,lose; forfeit; surrender,You can acquire a lot of confidence by joining the school choir and singing in front of others.
acrimonious,"Full of bitterness, usually about a long-running disagreement",bitter; hostile; rancorous,friendly; amicable; peaceful,"The meeting turned acrimonious after ten minutes, and two committee members walked out shouting."
acronym,"A word formed from the first letters of a group of words, used as a short label",abbreviation; short form; shorthand,full form; long form; written-out version,"The instructions were packed with acronyms, so the coach explained each one before the foreign trip."
adamant,Completely determined not to change your mind or give way,unyielding; resolute; stubborn,flexible; wavering; yielding,"She was adamant about wearing trainers to the ceremony, despite all the arguments from her parents."
address,To speak or write directly to a particular person or group,greet; salute; hail,ignore; avoid; dodge,"Please address your questions to the head teacher, as she deals with the bus route."
adequate,"Enough in quantity, or good enough in quality, to be satisfactory",sufficient; satisfactory; acceptable,inadequate; insufficient; deficient,"The shelter offers adequate room for forty people, but there is not enough parking nearby."
adherent,"Someone who supports a belief, cause or leader",supporter; follower; devotee,opponent; critic; rebel,Every adherent of the cycling club must attend the safety talk before borrowing a bike.
adjacent,Next to or immediately beside something,neighbouring; adjoining; nearby,distant; remote; faraway,"Our classroom is adjacent to the library, so we can borrow books between lessons."
adjourn,To stop a meeting for a time and start it again later,suspend; postpone; defer,continue; proceed; resume,"The match was adjourned when the fog closed in, and the teams went home disappointed."
admirable,Deserving praise for something good or brave that has been done,praiseworthy; commendable; laudable,disgraceful; deplorable; shameful,"It was admirable that Priya stayed behind to clear up after the storm, though she was exhausted."
admission,Permission to enter a place or join a group,entry; access; acceptance,refusal; exclusion; rejection,"The museum charges no admission fee for pupils, but you must book a place online."
admonish,To speak to someone seriously because their behaviour was wrong or careless,reprimand; scold; chide,praise; reward; commend,"The referee admonished the striker for a foul tackle, and a yellow card followed seconds later."
adopt,"To take a child into your family as your own, or to start using a particular plan",embrace; take up; foster,reject; abandon; disown,"His parents agreed to adopt the rescue puppy, and he chose a name for him on the first night."
adore,To love and respect someone or something very much,cherish; worship; idolise,detest; loathe; despise,My sister adores her violin teacher and practises faithfully for an hour every evening.
adulation,"Excessive praise or flattery, often given to someone in power",flattery; fawning; sycophancy,scorn; contempt; scepticism,"Squads of photographers waited for the winner, offering adulation with every smile and handshake."
advance,"To move forward, or to make progress towards a goal",progress; proceed; move ahead,retreat; recede; withdraw,"Reading daily will advance your writing, so the library runs a quiet club at lunchtime."
adversary,A person or group who opposes or competes against someone,opponent; rival; enemy,ally; friend; supporter,"Our adversaries from the neighbouring school made the final match exhausting, and neither team could rest."
aesthetic,Concerned with beauty and artistic taste rather than practical use,artistic; visual; decorative,practical; functional; utilitarian,"The building is admired for its aesthetic qualities, though the heating barely works in winter."
affectionate,Showing that you care about someone and feel warmth and love for them,tender; loving; fond,cold; indifferent; hostile,Her affectionate greeting with a gentle hug made everyone in the room feel welcome that afternoon.
affinity,"A natural liking for something, or a close connection with it",attraction; fondness; inclination,aversion; dislike; repulsion,"She has an affinity for old maps, spending hours tracing coastlines in the library atlas."
affirmation,"A clear statement that something is true, which gives support to it",confirmation; endorsement; declaration,denial; contradiction; refutation,"Her affirmation of the plan was recorded in the minutes, and nobody voted against it."
affliction,A condition of great pain or suffering,misery; anguish; torment,relief; comfort; happiness,A bad tooth caused her such affliction that she missed the whole school trip.
affluent,Having plenty of money and a comfortable standard of living,wealthy; prosperous; well-off,poor; needy; penniless,The affluent family paid for three laptops so that each child had one at home.
affront,Something said or done that openly insults someone's dignity,insult; slight; snub,compliment; tribute; respect,"She considered his curt remark at the party an affront, and she left the room without a word."
aggressor,"A person who starts an attack, argument or act of hostility",attacker; assailant; invader,victim; defender; peacemaker,"The aggressor in the fight was suspended for a week, and the other boy received a caution."
aghast,So shocked by something terrible that you feel unable to respond,horrified; appalled; stunned,delighted; pleased; unsurprised,The whole class was aghast when a window shattered two centimetres from someone's head.
agnostic,Someone who believes that the existence of God cannot be proved or disproved,sceptic; doubter; freethinker,believer; devotee; worshipper,"When asked about religion at the fair, the scientist calmly said she was agnostic and left it there."
agreeable,"Pleasant in manner and easy to get on with, or happy to accept a suggestion",likeable; friendly; approachable,unpleasant; hostile; awkward,"Our new neighbour was agreeable about the fence, and soon both families were sharing a barbecue."
